date,commit,total_collabs
2015-05-13,c0a6b5506f89b0eea8840280dade54bd4cf01768,925
2015-05-14,72d0de0d637ef062fb974dba28581ffb78e2537e,925
2015-05-15,e37d4f7d0c263f099b849e40293267128ea88b92,927
2015-05-18,7e00664d58a65f17153b425e4926986944d6c205,925
2015-05-19,4994763c0574707c73eb2a129882c6e958eaf03e,926
2015-05-21,673b0ae42fbcbc8845f90675a2b4c3e34a41d230,927
2015-05-23,05eb544be1273c8946c045db2fc4bd410fe64b52,926
2015-05-27,9ef5e4a768d3c3e3e505fd649cc4e821e0cec02e,925
2015-05-28,172e5d85ba72a46a1161226f19e0d9db768a6711,926
2015-05-29,d3a839d783222c6a0dc28b281bf0392ad1488295,927
2015-05-31,91987130d7046ea6cf453b5358e322dab384a4b7,926
2015-06-01,392827eb9991b484fa6c9c83317e7459c87cde41,921
2015-06-02,504175bc19e4b9f999f675af2533c3f4050efdad,922
2015-06-03,0befeeee80edfb0726a508f5e00e6f456a8d4a26,923
2015-06-04,bd1f0cbe7112b113c910199517cd39416fc16a8e,926
2015-06-05,77c8a8e2b939a6f7627c2859b6403b1e11c4b9ba,929
2015-06-09,a2bd583cd9cde84d49228b39c7daecea1561f803,931
2015-06-11,e8e51346fdee5f3136447436dc0ae1a929cd9b13,932
2015-06-12,85730984c412939f453fcb9c1187df9097a8b53a,933
2015-06-13,e51c6d692ab8fa0ddd955eb8e49b01f1a859424c,922
2015-06-16,bcc2033dea8b60d1df2405873bd85b9cf3918e70,922
2015-06-17,f36eb7e508bc3209805463ea2f84adf2c435a3dd,923
2015-06-18,c1a219e8f09ce261b85607d668999790123ec2e5,924
2015-06-20,7c2aed6ae1305e4653af9f7a137a698b1cb428a7,925
2015-06-25,79af9b8801b2eda953ae609a903bcb10e6adc0c0,926
2015-06-26,70192addfd00af2410ef70add0a318d36d757b7d,925
2015-07-01,a559858d1baf8ca48074bd7e86f335513da6bcad,920
2015-07-02,c3e719f11302a12d92681447ecc77ddeb54aa721,923
2015-07-03,ed48cba492acc1106245b9c35bfd7ee9e0d8b1f5,925
2015-07-04,7a8e8fef7cad75781f42b02f96f7f36c44701851,925
2015-07-07,3e4a5fcd5073bfc50e3836134283e3635e1975b3,926
2015-07-08,d48afad0f3922e7fc9e18459f0d43798aa851e25,927
2015-07-09,d8216e44054b36f85e07e6c93f5ce2d3ee2bc49c,928
2015-07-10,f93ba4156a7b5c5274db961df16c9745f37d2da4,929
2015-07-11,a832df66e58c40670bf4e101631a6d634013ec78,929
2015-07-14,b4d9fd17cc249563094a7a5b293f12f667c490d6,930
2015-07-17,5ea0559186f5ae5c9e9895d41fa4195fe14f99fa,932
2015-07-18,bae5a338e188b60640eea641f6b8558d12dd4082,931
2015-07-21,a920d029f463a245a86e1cb94b059c0ad31a7ffb,929
2015-07-22,6b6ed22ce7f1d40b37298aaff753861b9cde20fd,930
2015-07-23,8e8c60223726a665dc42d426b71b0536884f49b9,932
2015-07-24,8550407dd65d3347347bde57c341b3c5fa747255,932
2015-07-25,c8f1dbcf2694c725b918c56856ecfa8d03849d2f,933
2015-07-27,c7459f0f4160b974870e3afe4768b1cd0faeb444,932
2015-07-29,1d25a51a430b41ce77271e526e6ed897a605eb6d,933
2015-07-30,1c0f1a4bbf021a9c5181d1c4ee9d28ed369d30b0,934
2015-07-31,3e673ebcd3e91823a7e52f0277f22f797f3435dd,934
2015-08-01,8f6f9b138d6d113123b7a2c22d800df719ab05dc,927
2015-08-02,9004256005cc5c72b18e7e5746b8cf645022d1c5,930
2015-08-04,53f2711721af4f9f71c9b45718b2d076d073385e,931
2015-08-13,4ff30f6a8d75eb652088f6f5f3940d6d0d103afa,932
2015-08-15,6c8dd75cd0730ac45f4aabca1a51fc9232b92f52,931
2015-08-19,dbe21095ffc8f748f3cbbe50fa2e3b02df529a90,931
2015-08-21,db5969d34911b0c77771150a552e14af3d259a2a,930
2015-08-24,a56137c6bcf0b994db0bee8336784ae863d83514,929
2015-08-27,8c8ecf42de87a99fd30c85d0f3a14bcebb37543d,930
2015-09-01,0e54398be6c63cec578ff5c9aa9ce18b6adf7ff1,919
2015-09-02,b6fa882076d4b0b1b0cae5f378fef4b35b98b631,926
2015-09-03,fe1495108416d3e42121d89192f1f650b3d62cd8,928
2015-09-04,8dd62958c1f5695a3023ab636386b9655362f1db,929
2015-09-05,7de9e8481a775246f397b066d72d30fa3b63235e,930
2015-09-06,be31e5b91281d58fc783afafedeaafc987316461,929
2015-09-08,07cb4e5826434a37b0fccc31de3b798d5ace3ca6,928
2015-09-09,a73e75fa6d359fbacb8c0e1d81f40ea0abdb0e4a,930
2015-09-12,e52e8e88483eedfc55ee89542ec306a84ac1e43e,928
2015-09-15,25790b6bc559ebda384a3a775ba6fda1abd94cec,930
2015-09-16,105a6a28cfb3348f4073f4ef94ced290e96d6eb0,932
2015-09-18,5a5dedc7c27f82dc6b300dff21681b7f3efbb378,933
2015-09-20,1fc77612c8df008a69508f6b1d67c0b1e87f5a90,934
2015-09-23,e2882528edbef4601669f07657172e3847724645,931
2015-09-26,b812d75c2fafc4af81a2c216bc252385665bd909,932
2015-10-01,b7bc12ab5a1bb0301fec652f4b09821bec347b7a,925
2015-10-02,09c3fc20885f3d69c9668fe487d922ff09edc7f1,931
2015-10-06,0c5e0a1c7d0400aebd60f561fc9662779d6333c2,932
2015-10-07,0af540927ef36946af1414ad6bf0c0d0e4a1b83f,931
2015-10-10,692d6e99b46dc14cd9210c0757d66371acb602b8,930
2015-10-12,58b6d0c73b482c6102a47f12d59d6715ca66c807,929
2015-10-13,9abd40f72ce10862412409f778d491bfe1453745,930
2015-10-14,742baf09f2a2e912b3f3281a71057a755cfd89e1,929
2015-10-15,6d0a6aaf9d23cdc412a0100ca0355b34c1db7bbc,928
2015-10-16,86b39f860ecbe7ce08ac3027e82c51a38dd67f1e,929
2015-10-19,98a9d38fece924127e7d60f06b84aef719f5a401,928
2015-10-21,5d9281b89cd003c86e87fe4a163a922ee298ea4c,930
2015-10-24,bb7c7f4be433c3d1d8b3de8e0563f44a409d92fa,932
2015-10-25,54ec6fa9c5b4c2f6fa9871a4dada1b89570da8dc,933
2015-10-27,b429c9d62f953f02ba44ac5b2290e5ad3e43fac4,936
2015-10-29,49400e627fe1463f0b042c9ccfd93936cfd1bcea,937
2015-10-31,682f2caf8b0846e37f7d80fdabe988cbf53ec976,937
2015-11-01,e8a426b24143d2ef028e59e53c6427015c175e6b,937
2015-11-02,b1158ba76dffe690b217611ad702fd6358b87ba9,938
2015-11-03,d75fb197faf8c0012bc6a53dccebeca4b956bce3,941
2015-11-04,6db10e7895d64c51f01f081561f000b31d91b436,940
2015-11-06,6e5f7aaded258f235f69966eaeb478cc0ec25e93,941
2015-11-07,abaac58066acfb3259bc93a9268db178e465fad1,942
2015-11-11,ce96548fec07a5a829f80642974e45d47ca42130,946
2015-11-13,ed6e987f04704a5817146ba48f86c850008defe9,949
2015-11-16,9d892a8b5303c398a987913439fac2426e7ee20a,948
2015-11-17,c92ed0f5eb3f30122977cfae95b0a38381f620d7,948
2015-11-19,63bea08432bdd84a65eecd0499b188159e4c01dd,949
2015-11-20,1c9c2439554a18a44432a7444b5f7c1e6251c468,950
2015-11-21,90eda3a50a85f0ccd8868bfdb1d4cfc076ecb9e1,951
2015-11-26,58f576b333da92feab6964c5e07d573acc9c05d7,952
2015-11-27,fb57494f8c94c46bf3572758bd205c200567b207,955
2015-11-30,962b20e41fb33306ed4d6af01f1d1c5b42ece683,953
2015-12-01,1753ba78f353f97008bfa270f32da407df5a03a1,949
2015-12-02,5ec74175f6bd9d2ef7e11d0d9bcd7533f9d9d2fc,948
2015-12-03,5f2b88e13c03ce6f94a9a63f08cbf6ec550639f3,949
2015-12-04,47f53dc2f7ab9ee8814894eabfff3b0f0f93c733,951
2015-12-08,574b3afec5004b3b556a8fcde3527a072eae9e74,952
2015-12-09,db2eae38df7f807da7601e47da160798f39d7b08,953
2015-12-10,834e7a6fb881e8481f69769603aa18c74d80f188,954
2015-12-11,435d6710087a3383b9d646466b8b28b9dfef0da3,955
2015-12-16,91bfc51db22617caf356e0d99cb6b06890219513,953
2015-12-21,b0d7ac1e1691a83008028a9a8069a314fc79ffd3,952
2015-12-22,d28d33e19e7dfec7dbb39325dc5439d180d998ab,952
2015-12-25,d5229cd4f4a2dfb7a6aa03feb55faff73fec9452,951
2015-12-26,a42ac6f1c77de9d6355867e6b83572ce0e949da1,952
2015-12-30,df3fdeb357f6a3cbc2c4052944733f422fa42d74,952
2016-01-01,f376aa4d8115a27a32222c53be0ae9b82396b326,938
2016-01-02,878a9b3d9953135e83eaaeec5b6ceb6fd2221d39,941
2016-01-05,63e71ac1a127d6dc3f00597b06ffba64e455aff9,943
2016-01-06,5386733765a0ef0e674a0146302a5b03ff4f2857,941
2016-01-07,74c212389449ae21f37a0567875b38b41c716cd6,941
2016-01-08,4d9b395841f77f673aa919c44752a837baafb3e3,940
2016-01-09,0be3c2ce79203e588474cc3e6aba2bbada19daba,939
2016-01-12,b226ca81f8339907d77d3c98570b1ac86f362f68,939
2016-01-13,5c40c63743e73c6b3e30ed5dfc118e728e5e601d,936
2016-01-14,75c532b2069cdbe3305201bd180df87f211a101e,937
2016-01-15,cc22c5805afb9c11a5964e784efbf648d13a2117,940
2016-01-16,032ece2af21e8142543723ce2102e5ebe2da8fbc,937
2016-01-19,75f113a096693f101ee7da6050e4c5f5536463ff,939
2016-01-20,383399ef5d52de24788816d117826d9267192e76,941
2016-01-21,743ccca073e29a6c99d5967265c7217862ef2c0a,942
2016-01-23,7c66c6650e65f4cce5b6b1bbd87ce4050fca115b,943
2016-01-27,65083e4c48b167997fff89bb25c0cc60ff3c84a0,943
2016-01-28,66d29eeaf2bb1ab2dd4d41b89d5e8cf502888ebc,944
2016-01-30,ee9e397de6672deda943a633eae4eaecd1fba70f,943
2016-02-01,aa17be040dd015a58bac8c0e8bd388b1de548e05,938
2016-02-02,48902f7503d06ca0737c4f3d7723d9ce15164c87,939
2016-02-03,6b477f22b2f050edcf3149ea03db2561d297c32b,940
2016-02-04,5ae5fa7d2efa80e4cca9b8b48a79762bbd182629,941
2016-02-05,071ec04c64ca70553acc5ecc5a66fd3da209d8e2,940
2016-02-06,e9f4a42a29085c98b1d3d8d16e87d8cafb67f837,939
2016-02-10,539a0416a9ff025b53ad0b3bec70dbc62f6b83ad,940
2016-02-11,35cf454d58cf14cf3aa3605b398a06ab6228e242,941
2016-02-13,64fdca13cd7b4303d50a397755d1d6a0b6cdcc81,940
2016-02-14,828b742bb6d2de253422360e1184936d1ff848b5,941
2016-02-16,dd2bd4c4ccca590c5ee522c06562d61fbedc5638,944
2016-02-17,c1a90ab57c5bb331de303b27d19d17a02f6f84b3,946
2016-02-18,73e916dbb3441e88b5b628b5ac83a79ab79ab376,948
2016-02-19,91be784810ebb5e58c4bcf0b17401e833a6757d3,949
2016-02-20,455f63b9f34a717896243ead48ede8baa4f95807,951
2016-02-21,04b65851c367cbc471f80fdd6aefd2a0c86d7649,950
2016-02-22,020474d03117af0735b95f364c28e487867d71d2,951
2016-02-26,0de76c8424c241491980b92c9d692bc410172b8e,950
2016-02-27,2db292454770fda452f2f3e925192d08b3f76304,949
2016-03-01,c15f296b4889f9a5bdf7b7aed497f9be2ccff657,947
2016-03-02,f50518c765b443ea49bebab030c927f0531365f7,951
2016-03-03,36211153bba07bfe4dc732fd4a1f7a236d023fd4,953
2016-03-08,3e53657774b891bfc42665c642ac9b0806111fc7,951
2016-03-09,75ab9041877d90049bea626df8c67bedb92b861d,952
2016-03-10,be90939c591aa94b0268c35b7785b760954ae2bd,953
2016-03-12,6ebcf2eb85e9005d59c4db01d0ccfe2d0e2a738e,951
2016-03-16,f1a1d3f33108fb73257741d9eec6307204993a6a,949
2016-03-19,0d158fc822e325d37b9a98fdb72d75448f7438d1,950
2016-03-22,d364a3d23ed0f57ba5b79ab3f29cc8362e3f6dcf,951
2016-03-23,0346c1f2e059055bd3487160ceb9045a99e6152d,953
2016-03-24,e405c6cf9a3a3fe36d59342c07db35a5b55cfe66,954
2016-03-25,34639ce389be55edc316a2bac6b5f71a56776009,955
2016-04-01,1509250befe4d4ee0739da3e67b0ef4f2375333a,950
2016-04-04,8658285bf7cfb908dde531c76967ac4c6231fcd0,949
2016-04-05,e800dd780a545eb927c9a2ee02466f123df45274,949
2016-04-06,293bb5bdd3444ebbffe73b2ba74fbaada91922be,951
2016-04-07,236510a4d13f4b03c63ec3df6602c48ffeed00ab,950
2016-04-08,309c3120cf5dd7460b0e5d6103b8678a18fb8317,950
2016-04-09,341064c6e2d78b20bbe6ba1be4dceb40eb7a7b78,949
2016-04-10,23109011c08adc268354431673524bcf2ecbb762,950
2016-04-12,2fe65ea5a6555a44c10ca5ef726cf87d737bb871,952
2016-04-14,d214b2e8493118c70a19bc58efe4baae1dcd6c9a,954
2016-04-16,88295d56163e164c2fa0ca7589d7777d1d46fba9,955
2016-04-17,f788032b08cd7aca9676fb1b504f10c30bcc0b93,956
2016-04-19,8152ceb444a0e4662c1c89115fe22b596912c9f9,958
2016-04-21,ac26faa8c64d618ce161c7610d77ad1b095cb400,959
2016-04-28,60c8cbefdbc20af2c30c0ee38223e03df17b3bdd,960
2016-05-01,f32ab1271fba1bbd8846f6064d7079db9ec11f8a,957
2016-05-02,a4a18bcd7d810504dc31dc779f093da953b731c3,958
2016-05-03,ab51b1202807237cc438ab1d8828056a17797a4f,957
2016-05-04,a6d96ed6b8a076cc305c1fab6c55639a796fd0f6,958
2016-05-05,6fc27ba43b67fb56e82727e7f31357f25874f92e,959
2016-05-10,3b85477b7c01751621b6052a57b64b02bdecbdc8,961
2016-05-11,c743c38b9d4764e011065ec036ec5140c3ff65d5,962
2016-05-12,c1e32f98236143ddb3438c5ee29bd1470720ab3c,962
2016-05-13,29addbd56f3a8f1ce1f05c9edf1d27e2b0deec80,961
2016-05-14,c0203312ccf2921fc6a57ec7a04077ed920699f8,960
2016-05-16,fb7ffbc843147e25ccc8c367ddb5322fef2b7c22,959
2016-05-20,b1e7d89c858ee09aaddfb30d42c9dbc81551202b,958
2016-05-21,bf222a799667f5296294c8e4ec905baad8a9825c,956
2016-05-23,92b290e48fe4f860a73c4c62982ef623770ffed2,953
2016-05-25,327df3fb610cdf2d5779afe07130814e8a8ff0f7,954
2016-05-26,91c8b693124193affe2e08c6202e71825222c5de,955
2016-05-27,352e50a2d7b676410d7c06f576231ecce0c86e6f,957
2016-05-31,82d5c5ac5455f015f6c12b676d215b42dca53a06,958
2016-06-01,10bc6392043db0bc8e9db4cbee184489ab7c2a0b,953
2016-06-02,bd7663c0129710a77be6b8e3c034e08554dfef26,956
2016-06-03,1cfeb41b5ef3183d020349af4c29185d17acb43b,958
2016-06-09,b812935f594021d67f515206db204d6d4a5882f0,959
2016-06-10,cb492bf9560aaed7534ac7ac6f387c353075b5ff,961
2016-06-14,8437686701434e725349cb91e8acf5daff5372f4,964
2016-06-16,183e4dc8374a8bdf24186fbcebb016e17e73bff0,962
2016-06-17,50278f786d661a81830c2c01f5a9688fac0c3311,963
2016-06-18,65c054a41aa74d121988cb03cae5c49bb2ea2256,964
2016-06-22,8cadcfd89b7b398b22c2a5e7e712ea53eb5ba56f,964
2016-06-23,3c89bce044615e183bb91d70ea33fda6b9af82f7,967
2016-06-25,d8c16067cb9b677b9b0034e1959b48acebce4004,967
2016-06-28,cc05c39949f25ff3177fd9d7485b80a97e614624,968
2016-06-29,db99f7d26a6ac599199fc9cbe19bb0ddf569855f,967
2016-06-30,12bde312229ef129c2cadf6c1c3fa8416191dcd2,966
2016-07-01,63170c0a28994ed340ce7e5cc0e8807b3fe5913a,961
2016-07-02,2f0d29b0efea303eb75ee40a336a21cb8a729c72,962
2016-07-05,1bf1adbb56e190e5a82a4b7d00c51ba48e8b2130,963
2016-07-06,67d3fcdfcf961eb61577e8b235e915f0eeb4402e,962
2016-07-07,115926e66fe374664c5b207a3adc910ec0a93a95,963
2016-07-08,733d0caa17d96535f2b63a9444a2ac6d6b5237de,964
2016-07-09,4485ded63107c4771bfdb55c87e7798ec2534346,965
2016-07-11,304b85717d04a5ddc7c09dca261259c080d93274,964
2016-07-12,ef90b14a827cf5cb3ec87bf859558c39e0910e05,965
2016-07-13,e1560fd6b52e389b922128a987f990958d072cc2,965
2016-07-16,3860b64af0f856a5ddebd1b6bf7c550e2bf8be83,965
2016-07-18,9f9d5b5ab90a8441268d3bfc3cea2409357c7e19,964
2016-07-20,c7cfeb5b2bf6ecf9d22d8ec9dc7701f60352b5f3,968
2016-07-21,7880581d66adfdd3e9216f0d3f36a2a65ce6a1db,967
2016-07-22,b935ed8411e665d389e788455e6ef266772c71a2,968
2016-07-26,d80c8ba3ae11f5eed84883cf98ec7a85f6726847,967
2016-07-30,bd60decf655c85149f0d4ef3c73fdde524d7050f,964
2016-08-04,3b434abdcc6f619ad6e519e4f0189aebf4c7461f,959
2016-08-17,de3c44ee4af8ece392d53cd0d6453e3b6dd257c1,960
2016-08-19,86035f2c286bab706d4477bd6779dd29af2ec77a,955
2016-08-21,10eb9951991ae7f8b21c307043b164a359b6185a,956
2016-08-23,c77fd141ea5d81b77928d7c69a8db475a016653e,955
2016-08-24,45090c66ddd89e4747d7993a34ea98a1c311cf73,955
2016-08-25,9d59804678e95f4b2a90c96c29dc515e22c3e7e6,956
2016-08-28,c9b6f0098d7228d9eb5b0acf678d3bff50c41278,957
2016-08-29,09e94a4322535d029908fed54628e0e354a8cad9,956
2016-08-31,26d80739fe5aee0cde23365e831ce4cc5793e675,957
2016-09-01,50a39c7bd29506e6cfde629e9d98d06316452c48,942
2016-09-02,2b6aa4f8facc7b636dbb5727041094190a72e5a6,944
2016-09-06,eeee7c820f86c916dee8af75e82004928f28c204,947
2016-09-08,1252ff2d8966c4415cac73d99b934d9d7643c369,948
2016-09-09,abe7b76354a892c765c209dfaeaafe7c9e96ca40,947
2016-09-10,4e610122c2eaa08c53ee6a8fd6809bba4827b87a,947
2016-09-13,67a01890ee8c9f406b7ebff9c8dd9afbf8a5fe9f,948
2016-09-14,f20b97319db358eacb8b25d53151380c7e90f31d,946
2016-09-15,24579826eef49f36f0209330285c4614b631827f,944
2016-09-17,8c70335b3f32d893c452acdbb130ed5d11661123,944
2016-09-19,e2e996c2f7623912af6f591995eb39b7edbfada7,942
2016-09-20,9f6ec7c812bc83cf027b78afa9704f2fcbb19afe,945
2016-09-23,96f8fd80e0405ce6999ba3ef997f35e221b46cb9,946
2016-09-27,acc81a4750fce297afca9d972a28ac26fc5eb3c0,946
2016-09-28,488bd233f0510a1ff4dd072ae9d473e437707d9b,947
2016-10-02,a8a36ce46d9f8a43d78d0c7d300589ec00cb8e27,948
2016-10-03,845f25f53161373e4859620d3bbc03a92f80c9fb,947
2016-10-04,2fb96aa11179bc3e3406483c491ce6d06b1bfb2f,946
2016-10-05,d041d1f3f7cd6250495b06d4343f95df04f439a3,947
2016-10-06,ea9b90f0356cf70979ea6dd2929360ee9e01932a,945
2016-10-07,a6e2b702ebea27c5c6e7f4c1d92f30a7a9c3c6da,946
2016-10-10,9d014c1ebec6009dfb3ca10f02fda6eccbc00ca9,945
2016-10-12,d33c3eaf4b15af7ceef93936e84ed51cd51638f2,944
2016-10-13,4bde700a910376a6d5008fb43faca5f9f4415b3a,943
2016-10-15,0bc004c75d94d5c5d7843d0504b3efc95136a7ae,942
2016-10-16,a6fa98e959e7d8af5ddd8b429faaacf2a26ccbd2,943
2016-10-19,20fc72f46a6c3b18aeee8dd270c59534cc51da17,943
2016-10-20,17aef15a8388ec70f677dfd5cb34cb4c7f575c94,946
2016-10-21,3383b73939ab611f8eeee0569a242c87dcb47c57,945
2016-10-22,5ac5af8dbafa42f6fa38a1cfd1c3de76d5797705,946
2016-10-25,413a442fe14b3a3b568580b13d7c7e58edbc1a88,947
2016-10-26,74e07ea47524b45a564e1754dd088a2d1417bd7e,948
2016-10-27,49975b80c878a869170773daa96e4d5f6d212e61,947
2016-11-01,7b61538107f74f99ec913108fc02f24ff791a40a,946
2016-11-02,d87be0324b511c0f760172b39ab8f49fffb6168d,948
2016-11-05,b49c900e7c02e2efe27a58d3f2877cd2ea0b43cd,949
2016-11-15,bbcddae9d76f5ec3ecd54555c4a90731e0156af6,947
2016-11-16,4d6e123fc989493e8ba183c16c8581634b47b62b,943
2016-11-18,381a55803487eab895575262438ba56eb8014864,941
2016-11-19,b3a30ec05c342def7eeb4148b7823b371746c27f,942
2016-11-23,da19f637a6eb07425f5abfc7debe767657f70c9f,943
2016-11-24,5687a2cfd4a915f2d43107ef8c86e10109afeb7a,942
2016-11-25,bdcc421ee1aac3004278e7eaea3ccd7c022728ea,944
2016-11-26,9d4166ea073d065364db5399ac275c407b5bd225,945
2016-12-01,9fe4ed5d7ec531664164e0e5b32e63c34eb94b5f,943
2016-12-02,9a415d253f8db278319ba51123c3b128720327a1,941
2016-12-06,03af7fb0b747a92c03c0a61f3b7846cc95e44fd6,942
2016-12-07,9f2329ad2539b4603b48f04e1173809600b93b74,941
2016-12-08,493e6b7c93ada44122abfb8d49fed48a8472da2e,942
2016-12-10,67570e642348d862d4086f35b8d60171fa9b6d58,941
2016-12-12,2ced5e282cfab4be216d1440129e4e3a906c71cd,940
2016-12-13,79bdc129ec3a885588ea390a46fe733f5c3320ef,936
2016-12-15,a4f70b282c0eb16400a7037f71f0a93c95bda813,937
2016-12-16,e78a7ac7b02457f7b7721c2e5dedb9d5b5b050c6,935
2016-12-22,8ca85903c08f39d2ff4d79304aa67d019575235b,936
2016-12-30,c8a086a2b3b2982fea8dc83b1f5774adbc9c0bbc,935
